date,dir,entry,exit,pnl,reason,score,bars
2024-01-04,SHORT,2052.0,2050.699951171875,113.34013984919531,SESS,-2.0,1
2024-01-08,SHORT,2038.800048828125,2034.0999755859375,290.1329195082438,SESS,-2.0,1
2024-01-18,SHORT,2015.800048828125,2019.06216206143,-312.10419178072135,SL,-10.0,1
2024-01-24,SHORT,2020.300048828125,2020.300048828125,0.0,SESS,-2.0,0
2024-01-30,LONG,2050.89990234375,2035.8572340283324,-302.7410660273006,SL,6.0,1
2024-01-30,LONG,2052.199951171875,2052.199951171875,0.0,SESS,6.0,0
2024-01-31,LONG,2068.10009765625,2067.699951171875,-25.75681661112274,SESS,6.0,1
2024-02-01,LONG,2072.0,2072.0,0.0,SESS,6.0,0
2024-02-09,SHORT,2039.0,2039.0,0.0,SESS,-6.0,0
2024-02-12,SHORT,2029.5999755859375,2032.7736871239936,-292.8861295481482,SL,-2.0,1
2024-02-14,SHORT,2000.5999755859375,2003.6451721263625,-284.0995456616986,SL,-10.0,1
2024-02-29,LONG,2054.39990234375,2054.39990234375,0.0,SESS,2.0,0
2024-03-05,LONG,2136.699951171875,2139.39990234375,124.75179190038567,SESS,6.0,1
2024-03-06,LONG,2149.10009765625,2153.199951171875,213.77404352050002,SESS,6.0,2
2024-03-11,LONG,2187.199951171875,2186.0,-75.94407010689126,SESS,6.0,1
2024-03-21,LONG,2176.39990234375,2183.0,267.36303391493,SESS,6.0,2
2024-03-26,LONG,2176.89990234375,2177.0,5.306138807344254,SESS,6.0,1
2024-04-01,LONG,2258.60009765625,2259.699951171875,42.27427032315039,SESS,2.0,1
2024-04-02,LONG,2279.199951171875,2286.699951171875,305.69629603911983,SESS,2.0,2
2024-04-09,LONG,2363.5,2365.800048828125,91.41648380698206,SESS,2.0,1
2024-04-19,LONG,2408.60009765625,2408.60009765625,0.0,SESS,2.0,0
2024-04-23,SHORT,2340.199951171875,2340.199951171875,0.0,SESS,-2.0,0
2024-05-08,LONG,2324.800048828125,2321.699951171875,-191.87115876453842,SESS,6.0,1
2024-05-21,LONG,2426.89990234375,2424.0,-134.2955427709894,SESS,2.0,1
2024-06-10,SHORT,2329.300048828125,2329.300048828125,0.0,SESS,-10.0,0
2024-06-20,LONG,2370.0,2370.89990234375,42.21057204569153,SESS,10.0,1
2024-07-03,LONG,2366.0,2366.0,0.0,SESS,10.0,0
2024-07-11,LONG,2419.199951171875,2419.199951171875,0.0,SESS,10.0,0
2024-07-15,LONG,2435.300048828125,2429.834618492749,-296.2970150533281,SL,10.0,1
2024-07-17,LONG,2468.0,2460.5361678451472,-287.4081046017315,SL,6.0,1
2024-08-20,LONG,2546.39990234375,2525.8055690587607,-278.785861463675,SL,10.0,1
2024-09-04,SHORT,2525.199951171875,2525.39990234375,-9.148137269383332,SESS,-2.0,2
2024-09-05,LONG,2540.699951171875,2545.5,254.57689660851685,SESS,2.0,1
2024-09-09,SHORT,2529.0,2529.0,0.0,SESS,-2.0,0
2024-09-12,LONG,2579.199951171875,2582.39990234375,124.34026668451419,SESS,2.0,1
2024-09-16,LONG,2607.39990234375,2610.10009765625,159.27056074868588,SESS,10.0,2
2024-09-20,LONG,2644.699951171875,2644.699951171875,0.0,SESS,2.0,0
2024-09-23,LONG,2654.10009765625,2653.0,-64.72298867904328,SESS,6.0,2
