entry_time,exit_time,dir,entry_px,exit_px,n_sigs,macro,net_pnl%,pnl_usd,equity,exit,bars,month
2026-04-24 14:45,2026-04-24 20:00,SHORT,4743.2,4724.05,2,SHORT,0.3877,231.72,12295.71,TP,21,2026-04
2026-04-27 13:30,2026-04-27 14:45,SHORT,4708.0,4696.05,3,SHORT,0.2377,146.16,12441.87,TP,5,2026-04
2026-04-27 14:45,2026-04-27 22:00,SHORT,4693.2,4700.86,2,SHORT,-0.1791,-111.43,12330.45,SL,25,2026-04
2026-04-28 13:30,2026-04-28 17:15,SHORT,4594.7,4607.65,2,SHORT,-0.2979,-130.3,12200.14,SL,15,2026-04
2026-04-29 13:30,2026-04-29 14:00,SHORT,4527.2,4535.51,2,SHORT,-0.1997,-121.79,12078.35,SL,2,2026-04
2026-04-29 14:00,2026-04-29 14:30,SHORT,4538.7,4547.84,2,SHORT,-0.2174,-130.38,11947.97,SL,2,2026-04
2026-04-29 16:45,2026-04-29 18:30,SHORT,4559.0,4537.76,2,SHORT,0.4498,230.75,12178.72,TP,7,2026-04
2026-04-30 13:45,2026-04-30 14:00,SHORT,4623.1,4631.75,2,SHORT,-0.203,-123.63,12055.09,SL,1,2026-04
2026-04-30 15:30,2026-04-30 22:00,SHORT,4628.5,4637.64,3,SHORT,-0.2136,-128.73,11926.36,SL,22,2026-04
2026-05-04 15:00,2026-05-04 15:45,SHORT,4559.6,4539.18,2,SHORT,0.4319,230.01,12156.37,TP,3,2026-05
2026-05-04 15:45,2026-05-05 01:00,SHORT,4531.6,4544.53,2,SHORT,-0.3013,-128.38,12027.99,SL,33,2026-05
2026-05-05 15:15,2026-05-05 16:15,SHORT,4590.4,4573.86,2,SHORT,0.3444,207.11,12235.1,TP,4,2026-05
2026-05-05 16:30,2026-05-05 18:00,SHORT,4567.4,4574.63,2,SHORT,-0.1743,-106.65,12128.44,SL,6,2026-05
2026-05-06 13:30,2026-05-06 16:45,LONG,4706.2,4694.8,2,LONG,-0.2582,-129.3,11999.15,SL,13,2026-05
