date,dir,entry,exit,pnl,reason,score,bars,win,month
2025-04-11,LONG,3217.80005,3234.81006,631.8534348335443,TIME,10.0,6,True,2025-04
2025-04-11,LONG,3215.98999,3218.93994,129.90604577339315,TIME,10.0,6,True,2025-04
2025-04-17,LONG,3318.21,3324.27,351.75890004350316,TIME,6.0,6,True,2025-04
2025-04-17,LONG,3323.15,3338.380535229173,871.9873969294297,TP2,6.0,3,True,2025-04
2025-04-28,SHORT,3282.4,3286.2640034751653,-370.3651733273978,SL,-2.0,1,False,2025-04
2025-04-30,SHORT,3291.3,3278.042888143597,910.1106859231732,TP2,-2.0,1,True,2025-04
2025-04-30,SHORT,3289.32,3318.34,-1637.5265590671286,SESS,-2.0,1,False,2025-04
2025-05-06,LONG,3377.55,3372.4384286109066,-337.4317419332465,SL,2.0,3,False,2025-05
2025-05-06,LONG,3379.14,3374.892101875806,-327.30878967526854,SL,2.0,1,False,2025-05
2025-05-07,LONG,3384.81,3380.3223233227613,-317.4895259849861,SL,10.0,1,False,2025-05
2025-05-07,LONG,3386.14,3392.69,372.5380728268905,SESS,10.0,1,True,2025-05
2025-05-19,LONG,3238.96,3243.35,278.05320143046305,TIME,2.0,6,True,2025-05
2025-05-19,LONG,3241.32,3232.56,-731.0750688176898,SESS,2.0,1,False,2025-05
2025-05-21,LONG,3307.57,3311.06,471.5105160881784,TIME,6.0,6,True,2025-05
2025-05-21,LONG,3309.74,3305.5318507141587,-330.6954536005617,SL,6.0,5,False,2025-05
2025-05-23,LONG,3327.85,3325.1781012438882,-320.77458999253383,SL,2.0,3,False,2025-05
2025-06-02,LONG,3348.26,3353.17,439.96534308793804,TIME,2.0,6,True,2025-06
2025-06-04,LONG,3359.65,3356.055236903711,-324.3503125853944,SL,2.0,2,False,2025-06
2025-06-09,SHORT,3320.55,3320.55,377.5437638494138,SL,-2.0,3,True,2025-06
2025-06-09,SHORT,3319.39,3314.12012,459.39221621242075,SESS,-2.0,0,True,2025-06
2025-06-11,SHORT,3338.99,3343.0223476587303,-351.05419552519027,SL,-2.0,1,False,2025-06
2025-06-13,LONG,3422.14,3417.8157941634636,-340.52256965942786,SL,10.0,4,False,2025-06
2025-06-17,LONG,3388.51,3384.432718552317,-330.30689256963063,SL,2.0,1,False,2025-06
2025-06-20,SHORT,3350.93,3354.1234966134057,-320.3976857925575,SL,-2.0,2,False,2025-06
2025-06-26,SHORT,3341.5,3315.82,1276.842450823457,SESS,-2.0,1,True,2025-06
2025-06-30,SHORT,3284.29,3287.74075685494,-360.2793159313611,SL,-10.0,1,False,2025-06
2025-07-01,LONG,3334.7,3346.877096550224,885.3263723486546,TP2,6.0,3,True,2025-07
2025-07-02,LONG,3339.4,3340.3,487.0664589047893,SESS,2.0,3,True,2025-07
2025-07-07,SHORT,3310.46997,3309.67,93.99710677159028,TIME,-2.0,6,True,2025-07
2025-07-07,SHORT,3307.91,3311.32,-339.6402183673701,SESS,-2.0,0,False,2025-07
2025-07-09,SHORT,3287.12988,3290.364455703609,-396.8105342376006,SL,-6.0,3,False,2025-07
2025-07-09,SHORT,3288.74,3291.7217301345336,-384.9062182104481,SL,-6.0,2,False,2025-07
2025-07-15,LONG,3360.93,3363.14,297.1925787883482,TIME,2.0,6,True,2025-07
2025-07-15,LONG,3362.69,3360.0432732590452,-382.27480902782287,SL,2.0,2,False,2025-07
2025-07-16,SHORT,3339.12,3327.17993,1252.733767088904,SESS,-2.0,3,True,2025-07
2025-07-21,LONG,3365.03,3366.05,198.1562286647505,TIME,2.0,6,True,2025-07
2025-07-23,LONG,3426.39,3426.39,513.2187611530187,SL,10.0,6,True,2025-07
2025-07-23,LONG,3426.53,3424.7472144896005,-458.47542663002594,SL,10.0,1,False,2025-07
2025-07-25,SHORT,3347.25,3342.72,633.2014971122809,TIME,-2.0,6,True,2025-07
2025-07-29,SHORT,3329.17,3327.09,397.82722020998085,SESS,-10.0,1,True,2025-07
2025-07-30,LONG,3336.93,3335.157886691373,-475.6520253507256,SL,2.0,3,False,2025-07
2025-08-04,LONG,3361.4,3359.6605680352045,-461.3824645902542,SL,6.0,2,False,2025-08
2025-08-07,LONG,3379.93,3379.98,6.947871521005703,TIME,6.0,6,True,2025-08
2025-08-08,LONG,3392.76,3390.7936241967172,-447.74942679819617,SL,2.0,1,False,2025-08
2025-08-15,SHORT,3336.02,3337.6745044611584,-434.31694399420775,SL,-6.0,1,False,2025-08
2025-08-15,SHORT,3336.21,3331.94,663.1231296126143,SESS,-6.0,0,True,2025-08
2025-08-26,LONG,3362.59,3360.5453912527446,-441.18112956276457,SL,2.0,1,False,2025-08
2025-08-27,LONG,3373.77,3372.3971012777693,-427.94569567585023,SL,10.0,1,False,2025-08
2025-08-28,LONG,3392.12,3398.347047868787,1051.6052228409628,TP2,2.0,6,True,2025-08
2025-08-29,LONG,3413.56,3411.1760936675173,-446.6554814908433,SL,6.0,1,False,2025-08
2025-08-29,LONG,3412.03,3426.9,1945.0952612595834,SESS,6.0,1,True,2025-08
2025-09-03,LONG,3554.25,3551.3772830861544,-507.2058842976129,SL,2.0,5,False,2025-09
2025-09-03,LONG,3551.78,3559.3038407503172,1246.373926347219,TP2,2.0,3,True,2025-09
2025-09-04,LONG,3554.41,3550.6435973388598,-529.380925559043,SL,6.0,2,False,2025-09
2025-09-04,LONG,3551.72,3547.945779004757,-513.4994977922855,SL,6.0,2,False,2025-09
2025-09-08,LONG,3618.1,3623.19,870.704385465219,TIME,10.0,6,True,2025-09
2025-09-08,LONG,3619.85,3624.18,928.3661626136064,TIME,10.0,6,True,2025-09
2025-09-09,LONG,3657.32,3664.34,1270.7896917863072,TIME,10.0,6,True,2025-09
2025-09-09,LONG,3658.86,3655.6748621567767,-648.8615679215661,SL,10.0,1,False,2025-09
2025-09-12,LONG,3646.75,3644.7345527975126,-629.3957208839231,SL,10.0,3,False,2025-09
2025-09-16,LONG,3703.86,3705.06,286.56275774533015,TIME,10.0,6,True,2025-09
2025-09-16,LONG,3704.25,3709.751473222064,1568.413854373957,TP2,10.0,2,True,2025-09
2025-09-22,LONG,3725.79,3734.31,1436.4767428806401,TIME,2.0,6,True,2025-09
2025-09-22,LONG,3732.66,3729.42364400129,-733.2393232217636,SL,2.0,3,False,2025-09
2025-09-23,LONG,3790.4,3786.0202100902266,-711.2421435250677,SL,6.0,5,False,2025-09
2025-09-24,LONG,3779.95,3777.552576613379,-689.9048792193627,SL,6.0,3,False,2025-09
2025-09-26,LONG,3757.33,3754.5730869160393,-669.2077328427783,SL,2.0,2,False,2025-09
2025-09-26,LONG,3756.95,3767.79,1726.453660321953,SESS,2.0,1,True,2025-09
2025-09-29,LONG,3821.19,3833.2082798980664,1834.8777399015485,TP2,6.0,5,True,2025-09
2025-09-29,LONG,3828.52,3823.7863696489057,-779.3401768950333,SL,6.0,1,False,2025-09
2025-10-01,LONG,3899.47,3894.835833966896,-755.9599715881404,SL,6.0,4,False,2025-10
2025-10-01,LONG,3893.85,3890.212994381572,-733.2811724405067,SL,6.0,2,False,2025-10
2025-10-03,LONG,3868.63,3866.4820665717266,-711.2827372672532,SL,6.0,2,False,2025-10
2025-10-03,LONG,3866.27,3867.97,1033.069074523484,TIME,6.0,6,True,2025-10
2025-10-06,LONG,3952.2,3947.602739450734,-745.7743205703865,SL,2.0,3,False,2025-10
2025-10-06,LONG,3951.44,3947.1627133634956,-723.4010909532345,SL,2.0,1,False,2025-10
2025-10-07,LONG,3969.16,3980.9891903610346,1777.6376141691735,TP2,2.0,3,True,2025-10
2025-10-08,LONG,4048.45,4044.6593808287103,-755.0281866497081,SL,2.0,3,False,2025-10
2025-10-08,LONG,4051.35,4047.136978305707,-732.3773410502666,SL,2.0,1,False,2025-10
2025-10-09,LONG,4052.59,4048.9002424910805,-710.4060208187634,SL,2.0,3,False,2025-10
2025-10-09,LONG,4052.36,4052.36,826.9126082330184,SL,2.0,4,True,2025-10
2025-10-14,LONG,4155.0,4145.421784981154,-738.7085966881359,SL,2.0,2,False,2025-10
2025-10-15,LONG,4212.49,4223.58,950.8656487752513,TIME,6.0,6,True,2025-10
2025-10-15,LONG,4223.21,4217.625153463795,-745.0733082508151,SL,6.0,4,False,2025-10
2025-10-16,LONG,4254.93,4249.681059989013,-722.7211090032382,SL,6.0,1,False,2025-10
2025-10-22,SHORT,4089.29,4037.547411221951,1775.966671857318,TP2,-2.0,3,True,2025-10
2025-10-24,SHORT,4058.85,4067.7296748626004,-754.3184758888591,SL,-6.0,1,False,2025-10
2025-10-24,SHORT,4068.24,4060.05,1202.7712004505456,TIME,-6.0,6,True,2025-10
2025-10-28,SHORT,3914.28,3922.5946579772262,-794.1128588037467,SL,-2.0,5,False,2025-10
2025-10-28,SHORT,3923.59,3932.551748154634,-770.2894730396353,SL,-2.0,2,False,2025-10
2025-10-31,SHORT,4015.15,4004.64,1358.211194468308,TIME,-2.0,6,True,2025-10
2025-10-31,SHORT,4007.61,4012.936416777624,-814.8256330810551,SL,-2.0,2,False,2025-10
2025-11-05,SHORT,3961.52,3966.272035047043,-790.3808640886041,SL,-2.0,3,False,2025-11
2025-11-06,LONG,4008.58,4004.1754872699967,-766.6694381659509,SL,2.0,6,False,2025-11
2025-11-06,LONG,4005.77,4017.2144809952206,1883.9623660531395,TP2,2.0,5,True,2025-11
2025-11-07,LONG,4000.58,4000.58,960.2258712031174,SL,6.0,4,True,2025-11
2025-11-07,LONG,4001.59,3998.4486133522983,-857.8017782748032,SL,6.0,4,False,2025-11
2025-11-10,LONG,4075.57,4076.0,74.88271912828979,TIME,6.0,6,True,2025-11
2025-11-10,LONG,4073.72,4087.555902899308,2113.59598980095,TP2,6.0,5,True,2025-11
2025-11-11,LONG,4131.52,4133.41,355.34535272872887,TIME,2.0,6,True,2025-11
2025-11-12,LONG,4125.91578,4121.233394182767,-908.3824467762818,SL,6.0,2,False,2025-11
2025-11-12,LONG,4121.95175,4125.32428,670.0142569830451,TIME,6.0,6,True,2025-11
2025-11-13,LONG,4233.04477,4228.228742307616,-901.2314010824055,SL,6.0,2,False,2025-11
2025-11-13,LONG,4232.89024,4227.942057234814,-874.1944590499523,SL,6.0,1,False,2025-11
2025-11-20,SHORT,4052.38789,4060.2001595506226,-847.9686252784713,SL,-2.0,1,False,2025-11
2025-11-20,SHORT,4065.64577,4058.34156,759.2759623227016,TIME,-2.0,6,True,2025-11
2025-11-26,LONG,4160.15354,4163.32516,636.8107698523996,TIME,6.0,6,True,2025-11
2025-11-26,LONG,4159.75535,4171.030251608877,2189.8441601630493,TP2,6.0,2,True,2025-11
2025-12-01,LONG,4242.98837,4257.426732988633,2356.2723163354185,TP2,6.0,5,True,2025-12
2025-12-01,LONG,4248.80252,4262.46461,3076.105862968576,SESS,6.0,2,True,2025-12
2025-12-04,LONG,4196.15341,4192.391641123622,-1093.078838669475,SL,6.0,1,False,2025-12
2025-12-05,LONG,4221.8436,4224.28039,840.6585679498253,TIME,2.0,6,True,2025-12
2025-12-05,LONG,4223.68259,4223.68259,1302.6074766573042,SL,2.0,6,True,2025-12
2025-12-11,LONG,4217.42503,4213.848695179932,-1163.66267914721,SL,6.0,1,False,2025-12
2025-12-11,LONG,4215.24326,4212.180306488969,-1128.7527987726803,SL,6.0,1,False,2025-12
2025-12-19,LONG,4328.06728,4325.335819876094,-1094.890214809775,SL,2.0,1,False,2025-12
2025-12-19,LONG,4327.16228,4324.606941814145,-1062.043508365454,SL,2.0,3,False,2025-12
2025-12-22,LONG,4411.6818,4408.551254352942,-1030.1822031145475,SL,2.0,3,False,2025-12
2025-12-22,LONG,4409.62986,4406.907180939991,-999.2767370211268,SL,2.0,4,False,2025-12
2025-12-23,LONG,4484.58458,4488.35864,1027.195918724266,TIME,6.0,6,True,2025-12
2025-12-23,LONG,4486.50392,4487.23417,205.26493804580946,SESS,6.0,2,True,2025-12
2025-12-24,LONG,4490.42243,4485.23831,-1333.6830179037424,SESS,2.0,0,False,2025-12
2025-12-26,LONG,4514.68223,4519.07664,1159.6914385961081,TIME,2.0,6,True,2025-12
2025-12-26,LONG,4515.24989,4511.311840251394,-1001.0525132342543,SL,2.0,1,False,2025-12
2025-12-31,SHORT,4317.44158,4325.458826012398,-971.0209378371798,SL,-2.0,1,False,2025-12
2025-12-31,SHORT,4327.76191,4311.80968,1893.3842483291508,TIME,-2.0,6,True,2025-12
2026-01-06,LONG,4466.05627,4460.302713875398,-1032.5998883011755,SL,6.0,2,False,2026-01
2026-01-07,LONG,4464.23496,4460.004989054046,-1001.6218916522597,SL,2.0,2,False,2026-01
2026-01-09,LONG,4468.09866,4469.77514,1338.4395038339178,TIME,2.0,6,True,2026-01
2026-01-09,LONG,4470.63261,4474.27239,1723.3696909354567,TIME,2.0,6,True,2026-01
2026-01-12,LONG,4588.87772,4585.4324,-848.4778865116257,TIME,6.0,6,False,2026-01
2026-01-12,LONG,4591.33792,4586.817465043337,-1110.6311206397897,SL,6.0,1,False,2026-01
2026-01-13,LONG,4589.60001,4585.0773002314545,-1077.3121870207553,SL,6.0,3,False,2026-01
2026-01-14,LONG,4628.33074,4635.37228,1908.23357099149,TIME,6.0,6,True,2026-01
2026-01-14,LONG,4631.30184,4627.220382090121,-1139.85957011056,SL,6.0,2,False,2026-01
2026-01-16,LONG,4604.96401,4600.264654395838,-1105.6637830073284,SL,2.0,1,False,2026-01
2026-01-16,LONG,4606.53901,4599.47231,-1881.313555169732,SESS,2.0,1,False,2026-01
2026-01-20,LONG,4729.41861,4724.736624118997,-1016.054462861884,SL,2.0,1,False,2026-01
2026-01-20,LONG,4727.37296,4728.59278,286.54980577035053,SESS,2.0,5,True,2026-01
2026-01-21,LONG,4861.75619,4863.47044,191.7638923411336,TIME,6.0,6,True,2026-01
2026-01-21,LONG,4862.26068,4865.12302,390.3844039622728,TIME,6.0,6,True,2026-01
2026-01-22,LONG,4828.08271,4823.010257372382,-1011.6337720383631,SL,2.0,4,False,2026-01
2026-01-22,LONG,4822.916,4828.26255,900.5442350948556,TIME,2.0,6,True,2026-01
2026-01-26,LONG,5089.62478,5081.853155130695,-1008.3010859299887,SL,10.0,3,False,2026-01
2026-01-26,LONG,5089.43705,5081.4134287859315,-978.0520533521523,SL,10.0,5,False,2026-01
2026-01-27,LONG,5080.38901,5096.95781,2060.616057136777,TIME,6.0,6,True,2026-01
2026-01-27,LONG,5085.62615,5079.451966929257,-1044.6825511686527,SL,6.0,5,False,2026-01
2026-01-28,LONG,5294.2256,5284.9132961471605,-1013.3420746336197,SL,6.0,1,False,2026-01
2026-01-28,LONG,5277.76216,5268.401897727981,-982.9418123946864,SL,6.0,5,False,2026-01
2026-02-05,SHORT,4884.72727,4825.598341534194,2415.415680324424,TP2,-2.0,5,True,2026-02
2026-02-09,LONG,5032.46595,5020.90937897917,-1025.916028432498,SL,10.0,2,False,2026-02
2026-02-10,LONG,5041.36486,5041.36486,1194.1662570954798,SL,10.0,5,True,2026-02
2026-02-10,LONG,5046.6968,5045.12679,-190.44068446763617,TIME,10.0,6,False,2026-02
2026-02-11,LONG,5052.91319,5047.254952592031,-1061.0753024713283,SL,10.0,2,False,2026-02
2026-02-11,LONG,5063.11319,5058.73994,-365.6598318913975,SESS,10.0,0,False,2026-02
2026-02-12,LONG,5065.24054,5058.7453694208225,-1018.273248440308,SL,2.0,3,False,2026-02
2026-02-18,SHORT,4920.75953,4913.86531,1820.9116245044565,TIME,-2.0,6,True,2026-02
2026-02-18,SHORT,4922.55272,4927.396361597705,-1077.9105015579298,SL,-2.0,1,False,2026-02
2026-02-20,LONG,5028.91755,5023.22315656287,-1045.5731865110315,SL,2.0,1,False,2026-02
2026-02-20,LONG,5026.91274,5021.3445513922225,-1014.2059909157618,SL,2.0,2,False,2026-02
2026-02-23,LONG,5149.17382,5151.95073,1370.928998258649,SESS,6.0,2,True,2026-02
2026-02-25,LONG,5185.33031,5180.174591820936,-1060.3237543389102,SL,2.0,5,False,2026-02
2026-03-02,LONG,5396.72754,5389.15162027026,-1028.514041708665,SL,10.0,1,False,2026-03
2026-03-02,LONG,5397.7757,5390.410308556521,-997.6586204574295,SL,10.0,1,False,2026-03
2026-03-06,SHORT,5108.87591,5087.567039833826,2451.5797833372935,TP2,-6.0,4,True,2026-03
2026-03-06,SHORT,5095.66118,5070.447375070468,2637.899846870955,TP2,-6.0,2,True,2026-03
2026-03-13,SHORT,5077.41473,5086.432645071196,-1120.413250749922,SL,-2.0,1,False,2026-03
2026-03-13,SHORT,5085.13487,5093.649305339821,-1086.8008532274716,SL,-2.0,1,False,2026-03
2026-03-16,SHORT,4989.00154,4996.545432298092,-1054.1968276306511,SL,-6.0,2,False,2026-03
2026-03-19,SHORT,4710.06216,4675.61492,1919.3261233018602,TIME,-10.0,6,True,2026-03
2026-03-20,SHORT,4684.65597,4660.1665,2166.2115470811364,SESS,-2.0,2,True,2026-03
2026-03-23,SHORT,4253.80156,4287.460004769563,-1181.9496061340499,SL,-10.0,5,False,2026-03
2026-03-25,SHORT,4555.38753,4565.139060260135,-1146.491117950062,SL,-6.0,4,False,2026-03
2026-03-26,SHORT,4430.88109,4441.830837289999,-1112.0963844115554,SL,-6.0,4,False,2026-03
2026-03-26,SHORT,4440.92689,4446.52994,-521.504426977868,SESS,-6.0,1,False,2026-03
2026-03-27,SHORT,4435.41332,4410.769524470144,2693.157178843612,TP2,-10.0,6,True,2026-03
2026-03-27,SHORT,4425.9123,4432.852328324114,-1143.88307543516,SL,-10.0,2,False,2026-03
2026-04-01,LONG,4719.12054,4731.38125,1418.0038210346381,TIME,6.0,6,True,2026-04
2026-04-01,LONG,4732.41511,4739.0697,823.6819343457588,SESS,6.0,1,True,2026-04
2026-04-06,LONG,4693.89596,4686.716926654676,-1176.817155833554,SL,2.0,3,False,2026-04
2026-04-06,LONG,4689.99521,4683.480813981713,-1141.5126411584592,SL,2.0,4,False,2026-04
2026-04-09,LONG,4727.47666,4740.43608,2183.344719538525,TIME,6.0,6,True,2026-04
2026-04-09,LONG,4736.49744,4776.15684,7202.358066047402,SESS,6.0,1,True,2026-04
2026-04-14,LONG,4780.90315,4774.971938297669,-1428.6999669205366,SL,2.0,1,False,2026-04
2026-04-14,LONG,4776.06437,4768.898596016369,-1385.838967912877,SL,2.0,5,False,2026-04
2026-04-20,LONG,4792.42856,4788.23357578385,-1344.2637988756949,SL,10.0,1,False,2026-04
2026-04-22,SHORT,4756.03338,4751.84493,1201.0569812290912,TIME,-10.0,6,True,2026-04
2026-04-22,SHORT,4756.39104,4755.17975,344.29100983152676,SESS,-10.0,1,True,2026-04
2026-04-23,SHORT,4699.2511,4705.379168905724,-1350.2963246411948,SL,-6.0,2,False,2026-04
2026-04-28,SHORT,4626.78713,4613.97643,2508.7713680691068,TIME,-6.0,6,True,2026-04
2026-04-29,SHORT,4566.60597,4572.595482329109,-1432.2029236003998,SL,-10.0,1,False,2026-04
2026-04-29,SHORT,4567.37481,4574.449186300059,-1389.2368358924284,SL,-10.0,2,False,2026-04
2026-05-04,SHORT,4577.77316,4583.225816180764,-1347.559730815727,SL,-6.0,2,False,2026-05
2026-05-04,SHORT,4564.71418,4572.57550334329,-1307.1329388911875,SL,-6.0,1,False,2026-05
2026-05-07,LONG,4733.73562,4736.71127,513.8566747857221,TIME,6.0,6,True,2026-05
2026-05-07,LONG,4736.78053,4730.667517947648,-1283.3346509679764,SL,6.0,1,False,2026-05
2026-05-15,SHORT,4561.19167,4534.869695958491,3153.581015645308,TP2,-6.0,5,True,2026-05
2026-05-15,SHORT,4552.82738,4561.616499061256,-1339.4420419083635,SL,-6.0,2,False,2026-05
2026-05-19,SHORT,4543.02077,4541.22348,311.02963702059134,TIME,-6.0,6,True,2026-05
2026-05-19,SHORT,4542.96547,4540.74792,377.68490647055637,TIME,-6.0,6,True,2026-05
2026-05-22,SHORT,4524.74355,4529.987833683155,-1319.9202169557539,SL,-10.0,1,False,2026-05
2026-05-22,SHORT,4521.00653,4526.596787458133,-1280.3226104470752,SL,-10.0,2,False,2026-05
2026-05-26,SHORT,4525.8201,4525.8201,1490.2955185604496,SL,-6.0,3,True,2026-05
2026-05-28,SHORT,4391.47905,4397.646192668473,-1331.3306632472622,SL,-6.0,2,False,2026-05
2026-05-28,SHORT,4392.57227,4392.57227,1549.6688920198565,SL,-6.0,2,True,2026-05
