Date,gold,macro_score,macro_raw,fwd_1,fwd_5
2023-05-31,1963.9000244140625,3.333333333333333,1,0.7179579108230971,-1.0794884148195183
2023-06-01,1978.0,10.0,3,-1.2942353683487062,-0.7280093232589713
2023-06-02,1952.4000244140625,-10.0,-3,0.28682521593483834,0.5019425648057796
2023-06-05,1958.0,-3.333333333333333,-1,0.3830439223697635,-0.1378933182775821
2023-06-06,1965.5,-3.333333333333333,-1,-1.1600126597875904,-1.0633439030304004
2023-06-07,1942.699951171875,-3.333333333333333,-1,1.0758235929050786,0.6485869137253797
2023-06-08,1963.5999755859375,10.0,3,-0.07129886084077386,-0.29537211397050456
2023-06-09,1962.199951171875,-3.333333333333333,-1,-0.3516411433824196,-0.19365644951438998
2023-06-12,1955.300048828125,-10.0,-3,-0.5472343361623944,-1.0126348045657707
2023-06-13,1944.5999755859375,-3.333333333333333,-1,0.550245468298094,-0.5810926102890468
2023-06-14,1955.300048828125,3.333333333333333,1,0.12785761456397537,-2.1786987466083096
2023-06-15,1957.800048828125,3.333333333333333,1,0.030645396413020443,-1.976712242159362
2023-06-16,1958.4000244140625,-3.333333333333333,-1,-1.1693231274807592,-1.7718582929741045
2023-06-20,1935.5,-3.333333333333333,-1,-0.11366319668689728,-1.1108240764660327
2023-06-21,1933.300048828125,3.333333333333333,1,-1.0655406370437381,-1.0862255971456292
2023-06-22,1912.699951171875,-10.0,-3,0.334606816408467,-0.1829874046818225
2023-06-23,1919.0999755859375,-3.333333333333333,-1,0.23969442157556475,0.10421551901638182
2023-06-26,1923.699951171875,3.333333333333333,1,-0.5042341018913099,-0.10396631755288377
2023-06-27,1914.0,-3.333333333333333,-1,-0.08881667564655249,0.2925797066843039
2023-06-28,1912.300048828125,-3.333333333333333,-1,-0.16211355839005348,-0.18826008284924534
2023-06-29,1909.199951171875,-10.0,-3,0.623299011020717,0.8904253318027466
2023-06-30,1921.0999755859375,3.333333333333333,1,0.031230836164808373,0.20300996635393975
2023-07-03,1921.699951171875,-10.0,-3,-0.10927697555785931,0.4995627777580891
2023-07-05,1919.5999755859375,-10.0,-3,-0.5678279096005601,1.9066459705890493
2023-07-06,1908.699951171875,-3.333333333333333,-1,0.9168544269755774,2.6457799178438046
2023-07-07,1926.199951171875,-3.333333333333333,-1,-0.06229629333885933,1.759943166514888
2023-07-10,1925.0,3.333333333333333,1,0.32727526379869865,1.4233778916396211
2023-07-11,1931.300048828125,3.333333333333333,1,1.2892819196508976,2.376632381467658
2023-07-12,1956.199951171875,10.0,3,0.15335855612319538,1.0888482445450043
2023-07-13,1959.199951171875,10.0,3,0.04593836445965227,0.4644802921114133
2023-07-14,1960.0999755859375,-3.333333333333333,-1,-0.39283461393714303,0.21427852122348767
2023-07-17,1952.4000244140625,10.0,3,1.2702277426602349,0.4046314441341625
2023-07-18,1977.199951171875,3.333333333333333,1,0.015175441813419788,-0.7637050353449526
2023-07-19,1977.5,3.333333333333333,1,-0.46523141197850615,-0.43489130649494445
2023-07-20,1968.300048828125,-3.333333333333333,-1,-0.2032210486598074,-1.1634417439402411
2023-07-21,1964.300048828125,3.333333333333333,1,-0.20363487759348375,-0.19854524854231448
2023-07-24,1960.300048828125,-3.333333333333333,-1,0.09181894164052018,0.5203260173345603
2023-07-25,1962.0999755859375,-3.333333333333333,-1,0.3465699461157268,-1.0906694195167987
2023-07-26,1968.9000244140625,10.0,3,-1.1935598409570591,-1.599878084687123
2023-07-27,1945.4000244140625,-10.0,-3,0.7710496459214289,-0.6888056053200975
2023-07-28,1960.4000244140625,10.0,3,0.5151997276145792,-1.061010435068821
2023-07-31,1970.5,3.333333333333333,1,-1.512308999143619,-1.8776960162395384
2023-08-01,1940.699951171875,-10.0,-3,-0.170037967786818,-0.8553602310297226
2023-08-02,1937.4000244140625,-10.0,-3,-0.27872531981079085,-1.1355424653023638
2023-08-03,1932.0,-3.333333333333333,-1,0.3933734775329878,-0.9109718212182982
2023-08-04,1939.5999755859375,3.333333333333333,1,-0.31449657984733426,-1.3765699890674221
2023-08-07,1933.5,-10.0,-3,-0.4861662484645701,-1.1843819195274108
2023-08-08,1924.0999755859375,-3.333333333333333,-1,-0.4521569191967556,-1.122601520711508
2023-08-09,1915.4000244140625,3.333333333333333,1,-0.0522084153312008,-1.007624965131193
2023-08-10,1914.4000244140625,-10.0,-3,-0.07835353013323498,-1.582743859262059
2023-08-11,1912.9000244140625,-10.0,-3,-0.12023884148516517,-1.4010167016613506
2023-08-14,1910.5999755859375,-10.0,-3,-0.4239493190328014,-0.9054708980882786
2023-08-15,1902.5,-10.0,-3,-0.33640075763797794,-0.3206294657522979
2023-08-16,1896.0999755859375,-10.0,-3,-0.6328780209119422,1.181373593295909
2023-08-17,1884.0999755859375,-10.0,-3,0.10615147953483284,1.8098814302745625
2023-08-18,1886.0999755859375,3.333333333333333,1,0.38174398681865007,1.3254864706858216
2023-08-21,1893.300048828125,-3.333333333333333,-1,0.16373398330900013,1.2993173269690628
2023-08-22,1896.4000244140625,-3.333333333333333,-1,1.165364654156531,2.1145314843753704
2023-08-23,1918.5,3.333333333333333,1,-0.015639761695329657,1.344803170608544
2023-08-24,1918.199951171875,-10.0,-3,-0.3701374083343034,1.0426441720938096
2023-08-25,1911.0999755859375,-10.0,-3,0.35581858170659064,1.50175676881521
2023-08-28,1917.9000244140625,3.333333333333333,1,0.9698094451831452,0.43276117900610256
2023-08-29,1936.5,10.0,3,0.40279105748128874,-0.9501690892880221
2023-08-30,1944.300048828125,10.0,3,-0.3137426067507776,-1.3783905855620393
2023-08-31,1938.199951171875,3.333333333333333,1,0.08255586093077749,-1.0215626486751783
2023-09-01,1939.800048828125,-3.333333333333333,-1,-0.7011082232143528,-0.8506031335532738
2023-09-05,1926.199951171875,-10.0,-3,-0.4205158234486306,-0.7735387146430517
2023-09-06,1918.0999755859375,-10.0,-3,-0.031279682684648424,-0.46921433264972556
2023-09-07,1917.5,-3.333333333333333,-1,0.04693738795631397,-0.39113428943937656
2023-09-08,1918.4000244140625,-3.333333333333333,-1,0.2554224536959637,0.2762680718496835
2023-09-11,1923.300048828125,-3.333333333333333,-1,-0.6239276085554968,0.426347993744991
2023-09-12,1911.300048828125,-3.333333333333333,-1,-0.11510873154303436,1.0830299085989648
2023-09-13,1909.0999755859375,-3.333333333333333,-1,0.047143912082781014,1.9118956820895372
2023-09-14,1910.0,-10.0,-3,0.7172749304646509,0.4816728362238232
2023-09-15,1923.699951171875,-3.333333333333333,-1,0.40547117669642585,0.08837517728021993
2023-09-18,1931.5,10.0,3,0.025886616619197333,-0.771422439247349
