entry_time,exit_time,dir,trend,entry_px,exit_px,n_sigs,net_pnl%,pnl_usd,equity,exit,bars,month
2023-12-18 15:00,2023-12-18 17:00,SHORT,FORCED_SHORT,2036.3,2039.23,3,-0.1596,-79.82,9920.18,SL,2,2023-12
2023-12-20 15:00,2023-12-20 18:00,SHORT,FORCED_SHORT,2045.6,2048.52,2,-0.1587,-78.73,9841.45,SL,3,2023-12
2023-12-22 16:00,2023-12-26 05:00,SHORT,FORCED_SHORT,2065.5,2069.81,2,-0.2245,-105.97,9735.48,SL,6,2023-12
2023-12-29 14:00,2023-12-29 16:00,SHORT,FORCED_SHORT,2072.2,2075.21,2,-0.161,-78.39,9657.1,SL,2,2023-12
2024-01-02 15:00,2024-01-02 16:00,SHORT,FORCED_SHORT,2068.2,2072.76,2,-0.2367,-103.57,9553.52,SL,1,2024-01
2024-01-03 14:00,2024-01-03 21:00,SHORT,FORCED_SHORT,2045.7,2049.51,2,-0.2025,-96.71,9456.82,SL,7,2024-01
2024-01-04 14:00,2024-01-04 15:00,SHORT,FORCED_SHORT,2046.5,2049.47,2,-0.1613,-76.26,9380.56,SL,1,2024-01
2024-01-10 14:00,2024-01-11 05:00,SHORT,FORCED_SHORT,2033.1,2036.46,2,-0.1812,-84.99,9295.56,SL,14,2024-01
2024-01-11 16:00,2024-01-11 19:00,SHORT,FORCED_SHORT,2020.8,2025.57,2,-0.2519,-99.26,9196.3,SL,3,2024-01
2024-01-12 16:00,2024-01-15 02:00,SHORT,FORCED_SHORT,2052.9,2057.13,2,-0.2222,-99.1,9097.2,SL,9,2024-01
2024-01-16 14:00,2024-01-16 17:00,SHORT,FORCED_SHORT,2041.9,2033.75,2,0.3833,174.35,9271.56,TP,3,2024-01
2024-01-17 14:00,2024-01-18 18:00,SHORT,FORCED_SHORT,2015.4,2019.86,2,-0.2374,-99.42,9172.14,SL,27,2024-01
2024-01-19 15:00,2024-01-22 06:00,SHORT,FORCED_SHORT,2030.0,2023.36,2,0.3112,142.73,9314.88,TP,14,2024-01
2024-01-22 14:00,2024-01-23 03:00,SHORT,FORCED_SHORT,2024.4,2027.88,2,-0.188,-87.56,9227.31,SL,12,2024-01
2024-01-24 15:00,2024-01-24 17:00,SHORT,FORCED_SHORT,2016.0,2019.68,2,-0.1983,-91.49,9135.83,SL,2,2024-01
2024-01-25 16:00,2024-01-25 20:00,SHORT,FORCED_SHORT,2014.4,2018.35,2,-0.2123,-96.96,9038.86,SL,4,2024-01
2024-01-26 16:00,2024-01-28 23:00,SHORT,FORCED_SHORT,2017.8,2020.55,2,-0.1525,-68.91,8969.96,SL,6,2024-01
2024-01-29 16:00,2024-01-29 20:00,SHORT,FORCED_SHORT,2026.0,2029.59,2,-0.1934,-86.75,8883.21,SL,4,2024-01
2024-02-02 14:00,2024-02-02 21:00,SHORT,FORCED_SHORT,2052.1,2055.77,2,-0.1948,-86.53,8796.68,SL,7,2024-02
2024-02-05 14:00,2024-02-06 05:00,SHORT,FORCED_SHORT,2039.9,2043.61,2,-0.198,-87.08,8709.59,SL,14,2024-02
2024-02-09 14:00,2024-02-12 13:00,SHORT,FORCED_SHORT,2039.6,2034.46,2,0.2361,102.84,8812.43,TP,22,2024-02
2024-02-12 14:00,2024-02-12 17:00,SHORT,FORCED_SHORT,2028.7,2031.08,2,-0.1332,-58.71,8753.72,SL,3,2024-02
2024-02-13 14:00,2024-02-14 14:00,SHORT,FORCED_SHORT,2008.5,2000.82,2,0.3665,160.4,8914.12,TP,23,2024-02
2024-02-14 14:00,2024-02-14 16:00,SHORT,FORCED_SHORT,1999.9,2002.38,2,-0.14,-62.41,8851.71,SL,2,2024-02
2024-02-15 16:00,2024-02-15 17:00,SHORT,FORCED_SHORT,2011.7,2014.5,2,-0.1553,-68.72,8782.99,SL,1,2024-02
2024-02-22 14:00,2024-02-23 08:00,SHORT,FORCED_SHORT,2034.9,2030.04,2,0.223,97.95,8880.94,TP,17,2024-02
2024-02-26 14:00,2024-02-26 19:00,SHORT,FORCED_SHORT,2037.0,2039.23,2,-0.1254,-55.69,8825.25,SL,5,2024-02
2024-02-27 14:00,2024-02-27 19:00,SHORT,FORCED_SHORT,2044.4,2040.67,2,0.1664,73.42,8898.67,TP,5,2024-02
2024-03-07 14:00,2024-03-07 19:00,SHORT,FORCED_SHORT,2161.4,2165.71,2,-0.2155,-95.89,8802.78,SL,5,2024-03
2024-03-12 14:00,2024-03-13 14:00,SHORT,FORCED_SHORT,2167.6,2172.26,2,-0.231,-94.58,8708.2,SL,23,2024-03
2024-03-14 14:00,2024-03-15 05:00,SHORT,FORCED_SHORT,2166.4,2169.46,2,-0.1574,-68.55,8639.65,SL,14,2024-03
2024-03-15 14:00,2024-03-15 17:00,SHORT,FORCED_SHORT,2168.2,2161.42,2,0.2968,128.21,8767.86,TP,3,2024-03
2024-03-18 14:00,2024-03-18 23:00,SHORT,FORCED_SHORT,2161.8,2164.89,2,-0.1587,-69.59,8698.27,SL,8,2024-03
2024-03-19 15:00,2024-03-19 19:00,SHORT,FORCED_SHORT,2157.4,2160.95,2,-0.1806,-78.56,8619.71,SL,4,2024-03
2024-03-21 16:00,2024-03-22 07:00,SHORT,FORCED_SHORT,2181.9,2170.89,2,0.4888,166.93,8786.64,TP,14,2024-03
2024-03-22 15:00,2024-03-25 01:00,SHORT,FORCED_SHORT,2167.9,2172.14,2,-0.2115,-92.9,8693.74,SL,9,2024-03
2024-03-26 14:00,2024-03-27 07:00,SHORT,FORCED_SHORT,2180.1,2185.18,2,-0.249,-92.91,8600.83,SL,16,2024-03
2024-04-08 14:00,2024-04-08 17:00,SHORT,FORCED_SHORT,2347.8,2356.43,2,-0.3834,-89.75,8511.07,SL,3,2024-04
2024-04-15 14:00,2024-04-15 16:00,SHORT,FORCED_SHORT,2366.0,2373.67,2,-0.3402,-89.31,8421.76,SL,2,2024-04
2024-04-17 16:00,2024-04-18 06:00,SHORT,FORCED_SHORT,2388.3,2395.02,2,-0.2975,-89.0,8332.76,SL,13,2024-04
2024-04-22 16:00,2024-04-23 01:00,SHORT,FORCED_SHORT,2343.7,2328.61,2,0.6277,162.51,8495.27,TP,8,2024-04
2024-04-30 14:00,2024-05-01 03:00,SHORT,FORCED_SHORT,2307.5,2296.96,2,0.4409,163.96,8659.23,TP,12,2024-04
2024-05-03 14:00,2024-05-03 16:00,SHORT,FORCED_SHORT,2299.8,2306.65,2,-0.3139,-91.24,8567.98,SL,2,2024-05
2024-05-07 16:00,2024-05-08 04:00,SHORT,FORCED_SHORT,2320.9,2325.11,2,-0.1972,-84.48,8483.5,SL,11,2024-05
2024-05-13 15:00,2024-05-14 01:00,SHORT,FORCED_SHORT,2342.0,2346.65,2,-0.2145,-91.01,8392.5,SL,9,2024-05
2024-05-16 14:00,2024-05-16 15:00,SHORT,FORCED_SHORT,2377.4,2382.04,2,-0.2111,-88.6,8303.9,SL,1,2024-05
2024-05-20 14:00,2024-05-20 17:00,SHORT,FORCED_SHORT,2427.1,2435.43,2,-0.3592,-86.91,8216.99,SL,3,2024-05
2024-05-22 14:00,2024-05-23 01:00,SHORT,FORCED_SHORT,2390.8,2378.5,2,0.4985,159.23,8376.22,TP,10,2024-05
2024-05-23 14:00,2024-05-23 20:00,SHORT,FORCED_SHORT,2347.6,2332.65,2,0.6207,163.31,8539.53,TP,6,2024-05
2024-05-24 15:00,2024-05-26 22:00,SHORT,FORCED_SHORT,2335.8,2340.48,2,-0.2162,-92.22,8447.31,SL,6,2024-05
2024-05-29 16:00,2024-05-30 02:00,SHORT,FORCED_SHORT,2341.5,2332.07,2,0.3867,162.23,8609.54,TP,9,2024-05
2024-05-31 15:00,2024-06-03 20:00,SHORT,FORCED_SHORT,2351.3,2371.08,2,-0.8572,-87.73,8521.81,SL,28,2024-05
2024-06-04 14:00,2024-06-04 15:00,SHORT,FORCED_SHORT,2337.3,2343.04,2,-0.2617,-90.77,8431.04,SL,1,2024-06
2024-06-04 15:00,2024-06-05 02:00,SHORT,FORCED_SHORT,2346.0,2351.87,2,-0.266,-89.71,8341.34,SL,10,2024-06
2024-06-07 14:00,2024-06-07 19:00,SHORT,FORCED_SHORT,2331.6,2312.06,2,0.8222,163.64,8504.98,TP,5,2024-06
2024-06-10 14:00,2024-06-10 15:00,SHORT,FORCED_SHORT,2319.9,2324.22,3,-0.2021,-85.95,8419.03,SL,1,2024-06
2024-06-11 15:00,2024-06-11 19:00,SHORT,FORCED_SHORT,2327.2,2331.51,2,-0.2013,-84.74,8334.29,SL,4,2024-06
2024-06-13 15:00,2024-06-14 01:00,SHORT,FORCED_SHORT,2314.4,2320.99,2,-0.3007,-88.03,8246.26,SL,9,2024-06
2024-06-14 15:00,2024-06-14 17:00,SHORT,FORCED_SHORT,2341.7,2346.96,2,-0.2407,-88.34,8157.93,SL,2,2024-06
2024-06-17 15:00,2024-06-17 16:00,SHORT,FORCED_SHORT,2327.1,2331.51,2,-0.2057,-83.9,8074.03,SL,1,2024-06
2024-06-17 16:00,2024-06-18 00:00,SHORT,FORCED_SHORT,2331.6,2336.0,2,-0.2049,-82.7,7991.32,SL,7,2024-06
2024-06-21 14:00,2024-06-23 23:00,SHORT,FORCED_SHORT,2343.1,2331.91,2,0.4614,154.47,8145.79,TP,8,2024-06
2024-06-25 14:00,2024-06-25 16:00,SHORT,FORCED_SHORT,2339.6,2330.65,2,0.3664,149.23,8295.02,TP,2,2024-06
2024-06-25 16:00,2024-06-26 13:00,SHORT,FORCED_SHORT,2329.9,2319.61,2,0.4255,159.89,8454.9,TP,20,2024-06
2024-06-26 14:00,2024-06-27 08:00,SHORT,FORCED_SHORT,2309.0,2314.68,2,-0.2622,-90.04,8364.86,SL,17,2024-06
2024-06-28 15:00,2024-07-01 11:00,SHORT,FORCED_SHORT,2339.0,2343.57,2,-0.2116,-88.5,8276.36,SL,19,2024-06
2024-07-01 14:00,2024-07-01 17:00,SHORT,FORCED_SHORT,2333.8,2338.78,2,-0.2295,-88.97,8187.39,SL,3,2024-07
2024-07-02 15:00,2024-07-02 19:00,SHORT,FORCED_SHORT,2333.6,2338.57,2,-0.229,-88.02,8099.37,SL,4,2024-07
2024-07-08 14:00,2024-07-08 15:00,SHORT,FORCED_SHORT,2380.9,2372.47,2,0.3382,136.94,8236.31,TP,1,2024-07
2024-07-08 15:00,2024-07-08 23:00,SHORT,FORCED_SHORT,2362.9,2368.03,2,-0.2332,-88.43,8147.88,SL,7,2024-07
2024-07-09 14:00,2024-07-09 15:00,SHORT,FORCED_SHORT,2361.6,2365.9,2,-0.1979,-80.64,8067.25,SL,1,2024-07
2024-07-09 16:00,2024-07-09 18:00,SHORT,FORCED_SHORT,2364.1,2368.95,2,-0.2211,-86.97,7980.28,SL,2,2024-07
2024-07-10 14:00,2024-07-10 15:00,SHORT,FORCED_SHORT,2381.3,2385.11,2,-0.1762,-70.3,7909.98,SL,1,2024-07
2024-07-18 15:00,2024-07-18 18:00,SHORT,FORCED_SHORT,2464.4,2455.37,2,0.3505,138.62,8048.61,TP,3,2024-07
2024-07-19 14:00,2024-07-19 15:00,SHORT,FORCED_SHORT,2399.9,2405.73,2,-0.2589,-85.79,7962.82,SL,1,2024-07
2024-07-19 16:00,2024-07-21 22:00,SHORT,FORCED_SHORT,2401.5,2407.18,2,-0.2525,-85.02,7877.8,SL,5,2024-07
2024-07-22 14:00,2024-07-22 16:00,SHORT,FORCED_SHORT,2388.6,2393.45,2,-0.219,-84.99,7792.82,SL,2,2024-07
2024-07-25 15:00,2024-07-26 01:00,SHORT,FORCED_SHORT,2362.5,2369.85,2,-0.3271,-81.94,7710.88,SL,9,2024-07
2024-07-29 15:00,2024-07-29 19:00,SHORT,FORCED_SHORT,2374.6,2379.33,2,-0.215,-82.88,7627.99,SL,4,2024-07
2024-08-02 15:00,2024-08-02 20:00,SHORT,FORCED_SHORT,2476.1,2485.72,2,-0.4046,-79.42,7548.57,SL,5,2024-08
2024-08-06 14:00,2024-08-07 10:00,SHORT,FORCED_SHORT,2429.2,2436.44,2,-0.3142,-79.54,7469.04,SL,19,2024-08
2024-08-14 14:00,2024-08-15 10:00,SHORT,FORCED_SHORT,2488.6,2494.83,2,-0.2661,-79.47,7389.57,SL,19,2024-08
2024-08-15 14:00,2024-08-15 15:00,SHORT,FORCED_SHORT,2490.0,2495.76,2,-0.2475,-79.0,7310.57,SL,1,2024-08
2024-08-20 15:00,2024-08-20 19:00,SHORT,FORCED_SHORT,2546.4,2552.31,2,-0.248,-78.15,7232.42,SL,4,2024-08
2024-08-21 14:00,2024-08-21 15:00,SHORT,FORCED_SHORT,2539.1,2544.63,2,-0.2337,-77.64,7154.78,SL,1,2024-08
2024-08-22 14:00,2024-08-22 23:00,SHORT,FORCED_SHORT,2515.9,2521.94,2,-0.256,-76.32,7078.46,SL,8,2024-08
2024-08-26 14:00,2024-08-27 02:00,SHORT,FORCED_SHORT,2552.6,2544.75,2,0.2917,103.23,7181.69,TP,11,2024-08
